yorum sayýsý,yorumlar:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Muhteþem diyebilirim, evde ANC özelliðinin etkisini pek görememiþtim, bugün E5 yolu kenarýnda müzikle beraber gürültü engellemeyi açýp kapatýnca ne kadar etkili olduðuna þaþýrdým ve hayran kaldým, mükemmel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Trendyol satýcýsýndan aldým niþanlýma çok beðendi çok kaliteli ve paketleme mükemmel hýzlý kargo için de thanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ben 8300 e aldým. 2 gün sonra 11.000 e çýktý. Satýcýsý teknosa . Baya iyi sesi gürültü engelleme özelliði harika kullanýþlý umarým uzun süre dayanýr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Ýlk geldiðinde evde sessiz ortamda denemiþtim gürültü engelleme özelliðini, pek bi espirisi yokmuþ diye düþünmüþtüm. Asýl etkisi dýþarýda gürültülü ortamda belli oluyor. Muhteþem bir þey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3 aydan uzun suredir kullaniyordum ve yani parasini haketcek mi diye cok dusundum ama her kurusu helal olsun ses kalitesi muthis sarji uzun sure gidiyoe hizli doluyor hele apple musicten dinleyince resmen sarki dinlemek muthis zevk veriyor gurultu engellemesi de soyle ki metroda vs o ugultuyucok iyi kesiyor ama mesela ayni odada oldugunuz biri konusuyorsa onu duyuyorsunuz sesleri tamamen yoketmiyor belki prolar bu konuda daha iyidir ama ben bundan da raziyim cok seviyorum onlari ve uzun sure jbl kulakustu kulanmis biri olarak hayat kalitemi yukseltti ve dedim vay be teknoloji nasil gelismis yani oyle ben seviyorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,çok beðendim çok güzel tavsiye ederim indirimden aldým çok memnunum fiyat performans ürünü,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Trendyola çok teþekkür ediyorum çok güzel paketleme ve teslimat. Dün sipariþ verdim bugün öðleden sonra teslim aldým bravo gerçekten. Ürün orijinal kuþkusuz alýnabilir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Ürün Mediamarkt tarafýndan orjinal ambalajýnda gönderildi. Ürünün zarar görmemesi için gerekli tedbirler alýnmýþ, özenli paketlenmiþti. Kýzýmýn 22.yaþgünü için aldým. Çok detaylý bir araþtýrma sonunda bu ürüne karar verdim. Kýzým da ""niye daha önce almamýþýz, ses kalitesi muhteþem"" yorumu yaptý. Gürültü önleyici özelliðine sahip kulak içi mi kafa üstü mü diye tereddüt yaþýyorsanýz kesinlikle bu ürün derim.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Para kazanmaya baþladýðýmdan beri tüm paramý apple ürünlerine harcadým bir tanesi bile piþman etmedi. Þeffaf mod özelliði ve konuþma performansý harika. Lütfen alýn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Çok saðlam güzel paketlenmiþ elle yetiþti ellerinize saðlýk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Hayatýmda kullandýðým en iyi kulaklýk. Gürültü engelleme özelliðinin hayat kalitemi bu kadar arttýracaðýný düþünmezdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Sýfýr ürün, kargo paketlemesi de iyidi. Sorunsuz baðlandý sesi muazzam çok iyi… Süper performans. Gürültü engeleyici de iyi. Çok memnun kaldým. Teþekkür ediyorum. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Gürültü engelleme özelliði çok iyi. Uzun süreli toplantýlarda kulaðým acýmadan kullanýyorum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,yorum alýþkanlýðým yoktur ama þaþýrtmadý beklentimi karþýladý baya baya konfor ses kalitesi her þey harika gürültü engelleme özelliðinin kapanabilir olmasý iyi olmuþ bazen bunaltýyor.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Satýcýya çok teþekkür ediyorum sipariþim saðlam ve sorunsuz bir þekilde teslim edildi üstelik 2 günde geldi, Þunu söylemek isterim ki ürün gerçekten çok kaliteli ve güzel orjinal bir kulaklýk bunu söylemek istiyorum yani ayrýca ben aktif gürültü engelleme özelliði olan modelini tercih ettim müzik dinlediðimde hiç bir þekilde dýþarýdan ses gelmiyor içeriye, çok iyi çalýþýyor yani kulakta duruþu ise hiç bir þekilde rahatsýz etmiyor çok rahat kullanýlabilir.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Alýrken biraz tereddüt etmiþtim ama sorunsuz bir þekilde elime ulaþtý ses kalitesi gürültü engellemesi muazzam þu an çok memnunum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ses kalitesi çok iyi zaten iPhone’dan da bu beklenir gürültüyü çok iyi engelliyor ve orijinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
